created_at,source,text,userid_str,status_id_str,id,reply_userid_str,reply_status_id_str,name,birth,term_partisanship,term_type,term_state
2021-08-01T14:00:00Z,[],"By January 23, 2020, Wuhan was placed under quarantine, and two days later the entire Hubei province was locked down. Domestic travel in China was stopped, but residents were allowed to travel internationally WITHOUT any screening. https://t.co/yjWAhhL3Le",996094929733652481,1421833092088492032,5821071,NA,NA,Debbie Lesko,1958-11-14,Republican,rep,AZ
2021-08-01T14:00:02Z,"[{'url': 'https://t.co/NDqkVx5XM0', 'expanded_url': 'https://www.reuters.com/world/asia-pacific/hong-kong-investigates-china-anthem-booing-during-olympics-broadcast-mall-2021-07-30/', 'display_url': 'reuters.com/world/asia-pac…', 'indices': [102, 125]}]","Anytime the radical left makes excuses for China, show them this.

He's facing three years in prison.
https://t.co/NDqkVx5XM0",4205133682,1421833100670160898,5763045,NA,NA,Guy Reschenthaler,1983-04-17,Republican,rep,PA
2021-08-01T15:00:19Z,"[{'url': 'https://t.co/qFXyobO5tk', 'expanded_url': 'https://king.senate.gov/newsroom/multimedia/audios/discussion-on-national-security-threats-posed-by-china-with-congressman-gallagher-and-admiral-stavirdis', 'display_url': 'king.senate.gov/newsroom/multi…', 'indices': [249, 272]}]","During Senate hearings, I often ask witnesses one simple question: what does China want? In this month’s edition of #InsideMaine, I put the question to @RepGallagher and @stavridisj, as we examine opportunities to boost U.S. global competitiveness. https://t.co/qFXyobO5tk",1068481578,1421848272897970183,5668678,NA,NA,"Angus S. King, Jr.",1944-03-31,Democrat,sen,ME
2021-08-01T15:35:06Z,[],"Stop blaming unvaccinated Americans.

Start blaming China.",1029094268542099457,1421857024032260107,5832333,NA,NA,Lance Gooden,1982-12-01,Republican,rep,TX
2021-08-01T18:00:41Z,"[{'url': 'https://t.co/5828hocDsr', 'expanded_url': 'http://ow.ly/uhKn30rPEEm', 'display_url': 'ow.ly/uhKn30rPEEm', 'indices': [260, 283]}]","Russia has a well established TRIAD: submarine and intercontinental launched missiles and bombers. Now, China is doing the same. This isn’t the time to do what the Squad &amp; Pelosi want and unilaterally disarm. Strategic deterrence is the military’s #1 job. https://t.co/5828hocDsr",818975124460335106,1421893664033415175,5804636,NA,NA,Don Bacon,1963-08-16,Republican,rep,NE
2021-08-02T13:44:03Z,"[{'url': 'https://t.co/3xxxpPqTCw', 'expanded_url': 'https://www.wsj.com/articles/behind-the-rise-of-u-s-solar-power-a-mountain-of-chinese-coal-11627734770?st=luv532ipa5cf8i5&reflink=desktopwebshare_twitter', 'display_url': 'wsj.com/articles/behin…', 'indices': [144, 167]}]","The U.S. loves solar power, but the panels are made using Chinese coal. Governments and companies are looking for emissions cuts at the source. https://t.co/3xxxpPqTCw via @WSJ",13218102,1422191469142609920,5685026,NA,NA,John Cornyn,1952-02-02,Republican,sen,TX
2021-08-02T14:20:12Z,"[{'url': 'https://t.co/EZjGe9mRUE', 'expanded_url': 'https://www.foxnews.com/world/wuhan-lab-report-raises-further-questions-about-possible-covid-19-lab-leak', 'display_url': 'foxnews.com/world/wuhan-la…', 'indices': [259, 282]}]","It’s clear that the Chinese Communist Party is hiding vital information on the origin of COVID-19, with another report raising questions about a leak from the Wuhan lab. We need a full investigation now &amp; must hold the CCP accountable for their cover up. https://t.co/EZjGe9mRUE",1345787285179162624,1422200566713835522,5822576,NA,NA,Diana Harshbarger,1960-01-01,Republican,rep,TN
2021-08-02T14:37:09Z,"[{'url': 'https://t.co/yaNXU755W1', 'expanded_url': 'https://fxn.ws/37fDfRW', 'display_url': 'fxn.ws/37fDfRW', 'indices': [252, 275]}]","The Biden Admin should declassify all info related to the origins of COVID. Then they should follow House Republicans' lead in calling for the 2022 Olympics to be moved from China.

We cannot rest until the Chinese Communist Party is held accountable. https://t.co/yaNXU755W1",19739126,1422204832111382535,5692989,NA,NA,Kevin McCarthy,1965-01-26,Republican,rep,CA
2021-08-02T15:00:02Z,"[{'url': 'https://t.co/3xGkNlwrqq', 'expanded_url': 'https://gop-foreignaffairs.house.gov/press-release/mccaul-releases-addendum-to-origins-of-covid-19-report/', 'display_url': 'gop-foreignaffairs.house.gov/press-release/…', 'indices': [253, 276]}]","🚨New report by @HouseForeignGOP ➡️""the preponderance of evidence suggests SARS-CoV-2 was accidentally released from a Wuhan Institute of Virology laboratory sometime prior to September 12, 2019."" 

We must hold the Chinese Community Party accountable.

https://t.co/3xGkNlwrqq",797201048490430465,1422210589439537154,5826149,NA,NA,Claudia Tenney,1961-02-04,Republican,rep,NY
2021-08-02T15:27:29Z,"[{'url': 'https://t.co/Y3cuHTxH2K', 'expanded_url': 'https://www.foxnews.com/world/wuhan-lab-report-raises-further-questions-about-possible-covid-19-lab-leak.amp', 'display_url': 'foxnews.com/world/wuhan-la…', 'indices': [54, 77]}]","The Chinese Communist Party must be held accountable!
https://t.co/Y3cuHTxH2K",1080477288955826176,1422217497944678401,5674766,NA,NA,Mark E. Green,1964-11-08,Republican,rep,TN
