,model_names,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,accuracy,f1_score,precision,recall,specificity
1,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.739,0.746,0.727,0.767,0.711
2,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,True,"[0.6, 0.2, 0.2]",2474,824,826,0.72,0.744,0.686,0.811,0.63
3,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,True,"[0.8, 0.1, 0.1]",3298,412,414,0.734,0.76,0.693,0.841,0.628
4,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.76,0.744,0.795,0.7,0.82
5,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,False,"[0.6, 0.2, 0.2]",2474,824,826,0.775,0.758,0.818,0.707,0.843
6,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,False,"[0.8, 0.1, 0.1]",3298,412,414,0.807,0.797,0.84,0.758,0.855
7,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,50,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.722,0.736,0.701,0.775,0.669
8,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,50,True,"[0.6, 0.2, 0.2]",2474,824,826,0.738,0.751,0.716,0.789,0.688
9,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,50,True,"[0.8, 0.1, 0.1]",3298,412,414,0.758,0.776,0.724,0.836,0.681
10,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,50,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.758,0.757,0.759,0.756,0.76
11,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,50,False,"[0.6, 0.2, 0.2]",2474,824,826,0.781,0.76,0.839,0.695,0.867
12,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,50,False,"[0.8, 0.1, 0.1]",3298,412,414,0.8,0.784,0.848,0.729,0.87
13,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,100,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.733,0.745,0.712,0.781,0.684
14,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,100,True,"[0.6, 0.2, 0.2]",2474,824,826,0.746,0.755,0.728,0.785,0.707
15,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,100,True,"[0.8, 0.1, 0.1]",3298,412,414,0.761,0.781,0.72,0.855,0.667
16,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,100,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.748,0.744,0.756,0.733,0.764
