,model_name,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,val_score,accuracy,f1_score,precision,recall,specificity
1,Bernoulli Naive Bayes,random_sampling,True,0,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.753,0.734,0.76,0.693,0.843,0.626
2,Bernoulli Naive Bayes,random_sampling,True,0,True,"[0.6, 0.2, 0.2]",2474,824,826,0.768,0.718,0.757,0.665,0.877,0.559
3,Bernoulli Naive Bayes,random_sampling,True,0,True,"[0.8, 0.1, 0.1]",3298,412,414,0.721,0.754,0.78,0.704,0.874,0.633
4,Bernoulli Naive Bayes,random_sampling,True,0,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.756,0.805,0.804,0.811,0.797,0.814
5,Bernoulli Naive Bayes,random_sampling,True,0,False,"[0.6, 0.2, 0.2]",2474,824,826,0.725,0.805,0.801,0.818,0.785,0.826
6,Bernoulli Naive Bayes,random_sampling,True,0,False,"[0.8, 0.1, 0.1]",3298,412,414,0.75,0.816,0.813,0.829,0.797,0.836
7,Bernoulli Naive Bayes,random_sampling,True,50,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.766,0.734,0.759,0.693,0.839,0.628
8,Bernoulli Naive Bayes,random_sampling,True,50,True,"[0.6, 0.2, 0.2]",2474,824,826,0.747,0.723,0.756,0.675,0.86,0.586
9,Bernoulli Naive Bayes,random_sampling,True,50,True,"[0.8, 0.1, 0.1]",3298,412,414,0.764,0.771,0.797,0.715,0.899,0.643
10,Bernoulli Naive Bayes,random_sampling,True,50,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.747,0.808,0.804,0.821,0.789,0.828
11,Bernoulli Naive Bayes,random_sampling,True,50,False,"[0.6, 0.2, 0.2]",2474,824,826,0.774,0.804,0.8,0.818,0.782,0.826
12,Bernoulli Naive Bayes,random_sampling,True,50,False,"[0.8, 0.1, 0.1]",3298,412,414,0.724,0.814,0.813,0.819,0.807,0.821
13,Bernoulli Naive Bayes,random_sampling,True,100,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.748,0.734,0.763,0.689,0.855,0.614
14,Bernoulli Naive Bayes,random_sampling,True,100,True,"[0.6, 0.2, 0.2]",2474,824,826,0.736,0.73,0.757,0.688,0.84,0.62
15,Bernoulli Naive Bayes,random_sampling,True,100,True,"[0.8, 0.1, 0.1]",3298,412,414,0.738,0.758,0.785,0.707,0.884,0.633
16,Bernoulli Naive Bayes,random_sampling,True,100,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.73,0.804,0.803,0.808,0.798,0.81
17,Bernoulli Naive Bayes,random_sampling,True,100,False,"[0.6, 0.2, 0.2]",2474,824,826,0.771,0.812,0.807,0.829,0.787,0.838
18,Bernoulli Naive Bayes,random_sampling,True,100,False,"[0.8, 0.1, 0.1]",3298,412,414,0.751,0.826,0.824,0.836,0.812,0.841
19,Bernoulli Naive Bayes,random_sampling,True,300,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.738,0.734,0.76,0.694,0.839,0.63
20,Bernoulli Naive Bayes,random_sampling,True,300,True,"[0.6, 0.2, 0.2]",2474,824,826,0.771,0.738,0.761,0.701,0.833,0.644
21,Bernoulli Naive Bayes,random_sampling,True,300,True,"[0.8, 0.1, 0.1]",3298,412,414,0.762,0.763,0.79,0.71,0.889,0.638
22,Bernoulli Naive Bayes,random_sampling,True,300,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.74,0.811,0.809,0.817,0.802,0.82
23,Bernoulli Naive Bayes,random_sampling,True,300,False,"[0.6, 0.2, 0.2]",2474,824,826,0.757,0.821,0.815,0.844,0.787,0.855
24,Bernoulli Naive Bayes,random_sampling,True,300,False,"[0.8, 0.1, 0.1]",3298,412,414,0.753,0.814,0.814,0.816,0.812,0.816
25,Bernoulli Naive Bayes,random_sampling,True,600,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.765,0.731,0.761,0.684,0.859,0.603
26,Bernoulli Naive Bayes,random_sampling,True,600,True,"[0.6, 0.2, 0.2]",2474,824,826,0.746,0.736,0.766,0.688,0.864,0.608
27,Bernoulli Naive Bayes,random_sampling,True,600,True,"[0.8, 0.1, 0.1]",3298,412,414,0.762,0.775,0.799,0.723,0.894,0.657
28,Bernoulli Naive Bayes,random_sampling,True,600,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.752,0.798,0.799,0.796,0.802,0.795
29,Bernoulli Naive Bayes,random_sampling,True,600,False,"[0.6, 0.2, 0.2]",2474,824,826,0.767,0.808,0.804,0.819,0.789,0.826
30,Bernoulli Naive Bayes,random_sampling,True,600,False,"[0.8, 0.1, 0.1]",3298,412,414,0.745,0.809,0.808,0.814,0.802,0.816
31,Bernoulli Naive Bayes,random_sampling,False,0,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.796,0.835,0.905,0.836,0.987,0.24
32,Bernoulli Naive Bayes,random_sampling,False,0,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.81,0.83,0.902,0.835,0.98,0.24
33,Bernoulli Naive Bayes,random_sampling,False,0,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.807,0.833,0.903,0.839,0.978,0.266
34,Bernoulli Naive Bayes,random_sampling,False,0,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.796,0.837,0.904,0.851,0.964,0.337
35,Bernoulli Naive Bayes,random_sampling,False,0,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.814,0.84,0.905,0.859,0.956,0.387
36,Bernoulli Naive Bayes,random_sampling,False,0,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.808,0.831,0.898,0.861,0.939,0.406
37,Bernoulli Naive Bayes,random_sampling,False,50,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.799,0.833,0.904,0.834,0.986,0.233
38,Bernoulli Naive Bayes,random_sampling,False,50,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.81,0.833,0.904,0.836,0.984,0.242
39,Bernoulli Naive Bayes,random_sampling,False,50,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.801,0.835,0.904,0.84,0.979,0.271
40,Bernoulli Naive Bayes,random_sampling,False,50,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.797,0.834,0.902,0.847,0.965,0.318
41,Bernoulli Naive Bayes,random_sampling,False,50,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.814,0.845,0.909,0.859,0.964,0.38
42,Bernoulli Naive Bayes,random_sampling,False,50,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.798,0.831,0.898,0.862,0.937,0.415
43,Bernoulli Naive Bayes,random_sampling,False,100,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.799,0.827,0.901,0.83,0.985,0.209
44,Bernoulli Naive Bayes,random_sampling,False,100,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.794,0.832,0.903,0.834,0.984,0.235
45,Bernoulli Naive Bayes,random_sampling,False,100,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.802,0.839,0.906,0.843,0.98,0.285
46,Bernoulli Naive Bayes,random_sampling,False,100,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.798,0.837,0.904,0.852,0.963,0.343
47,Bernoulli Naive Bayes,random_sampling,False,100,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.796,0.839,0.905,0.854,0.962,0.358
48,Bernoulli Naive Bayes,random_sampling,False,100,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.8,0.829,0.897,0.86,0.937,0.406
49,Bernoulli Naive Bayes,random_sampling,False,300,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.805,0.832,0.903,0.833,0.987,0.225
50,Bernoulli Naive Bayes,random_sampling,False,300,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.809,0.833,0.903,0.836,0.982,0.247
51,Bernoulli Naive Bayes,random_sampling,False,300,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.818,0.841,0.907,0.847,0.977,0.309
52,Bernoulli Naive Bayes,random_sampling,False,300,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.796,0.836,0.903,0.849,0.965,0.328
53,Bernoulli Naive Bayes,random_sampling,False,300,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.808,0.84,0.905,0.86,0.955,0.39
54,Bernoulli Naive Bayes,random_sampling,False,300,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.814,0.835,0.9,0.865,0.938,0.43
