,model_name,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,val_score,accuracy,f1_micro,f1_macro,f1_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted
1,Multinomial Naive Bayes,random_sampling,True,0,True,"[0.5, 0.25, 0.25]",207,102,108,0.578,0.583,0.583,0.579,0.579,0.583,0.612,0.612,0.583,0.583,0.583
2,Multinomial Naive Bayes,random_sampling,True,0,True,"[0.6, 0.2, 0.2]",249,81,87,0.4,0.632,0.632,0.626,0.626,0.632,0.633,0.633,0.632,0.632,0.632
3,Multinomial Naive Bayes,random_sampling,True,0,True,"[0.8, 0.1, 0.1]",333,39,45,0.612,0.6,0.6,0.573,0.573,0.6,0.609,0.609,0.6,0.6,0.6
4,Multinomial Naive Bayes,random_sampling,True,0,False,"[0.5, 0.25, 0.25]",207,102,108,0.522,0.62,0.62,0.593,0.593,0.62,0.624,0.624,0.62,0.62,0.62
5,Multinomial Naive Bayes,random_sampling,True,0,False,"[0.6, 0.2, 0.2]",249,81,87,0.48,0.621,0.621,0.591,0.591,0.621,0.631,0.631,0.621,0.621,0.621
6,Multinomial Naive Bayes,random_sampling,True,0,False,"[0.8, 0.1, 0.1]",333,39,45,0.638,0.511,0.511,0.476,0.476,0.511,0.486,0.486,0.511,0.511,0.511
7,Multinomial Naive Bayes,random_sampling,True,50,True,"[0.5, 0.25, 0.25]",207,102,108,0.525,0.63,0.63,0.626,0.626,0.63,0.644,0.644,0.63,0.63,0.63
8,Multinomial Naive Bayes,random_sampling,True,50,True,"[0.6, 0.2, 0.2]",249,81,87,0.517,0.621,0.621,0.616,0.616,0.621,0.619,0.619,0.621,0.621,0.621
9,Multinomial Naive Bayes,random_sampling,True,50,True,"[0.8, 0.1, 0.1]",333,39,45,0.482,0.6,0.6,0.595,0.595,0.6,0.627,0.627,0.6,0.6,0.6
10,Multinomial Naive Bayes,random_sampling,True,50,False,"[0.5, 0.25, 0.25]",207,102,108,0.593,0.62,0.62,0.592,0.592,0.62,0.607,0.607,0.62,0.62,0.62
11,Multinomial Naive Bayes,random_sampling,True,50,False,"[0.6, 0.2, 0.2]",249,81,87,0.55,0.632,0.632,0.614,0.614,0.632,0.651,0.651,0.632,0.632,0.632
12,Multinomial Naive Bayes,random_sampling,True,50,False,"[0.8, 0.1, 0.1]",333,39,45,0.534,0.467,0.467,0.444,0.444,0.467,0.439,0.439,0.467,0.467,0.467
13,Multinomial Naive Bayes,random_sampling,True,100,True,"[0.5, 0.25, 0.25]",207,102,108,0.549,0.648,0.648,0.646,0.646,0.648,0.649,0.649,0.648,0.648,0.648
14,Multinomial Naive Bayes,random_sampling,True,100,True,"[0.6, 0.2, 0.2]",249,81,87,0.514,0.655,0.655,0.653,0.653,0.655,0.658,0.658,0.655,0.655,0.655
15,Multinomial Naive Bayes,random_sampling,True,100,True,"[0.8, 0.1, 0.1]",333,39,45,0.667,0.578,0.578,0.572,0.572,0.578,0.597,0.597,0.578,0.578,0.578
16,Multinomial Naive Bayes,random_sampling,True,100,False,"[0.5, 0.25, 0.25]",207,102,108,0.613,0.62,0.62,0.598,0.598,0.62,0.617,0.617,0.62,0.62,0.62
17,Multinomial Naive Bayes,random_sampling,True,100,False,"[0.6, 0.2, 0.2]",249,81,87,0.514,0.609,0.609,0.594,0.594,0.609,0.609,0.609,0.609,0.609,0.609
18,Multinomial Naive Bayes,random_sampling,True,100,False,"[0.8, 0.1, 0.1]",333,39,45,0.62,0.467,0.467,0.456,0.456,0.467,0.451,0.451,0.467,0.467,0.467
19,Multinomial Naive Bayes,random_sampling,True,300,True,"[0.5, 0.25, 0.25]",207,102,108,0.704,0.648,0.648,0.634,0.634,0.648,0.641,0.641,0.648,0.648,0.648
20,Multinomial Naive Bayes,random_sampling,True,300,True,"[0.6, 0.2, 0.2]",249,81,87,0.645,0.621,0.621,0.613,0.613,0.621,0.613,0.613,0.621,0.621,0.621
21,Multinomial Naive Bayes,random_sampling,True,300,True,"[0.8, 0.1, 0.1]",333,39,45,0.684,0.533,0.533,0.506,0.506,0.533,0.524,0.524,0.533,0.533,0.533
22,Multinomial Naive Bayes,random_sampling,True,300,False,"[0.5, 0.25, 0.25]",207,102,108,0.665,0.593,0.593,0.55,0.55,0.593,0.58,0.58,0.593,0.593,0.593
23,Multinomial Naive Bayes,random_sampling,True,300,False,"[0.6, 0.2, 0.2]",249,81,87,0.618,0.609,0.609,0.584,0.584,0.609,0.605,0.605,0.609,0.609,0.609
24,Multinomial Naive Bayes,random_sampling,True,300,False,"[0.8, 0.1, 0.1]",333,39,45,0.702,0.444,0.444,0.428,0.428,0.444,0.422,0.422,0.444,0.444,0.444
25,Multinomial Naive Bayes,random_sampling,True,600,True,"[0.5, 0.25, 0.25]",207,102,108,0.814,0.63,0.63,0.621,0.621,0.63,0.62,0.62,0.63,0.63,0.63
26,Multinomial Naive Bayes,random_sampling,True,600,True,"[0.6, 0.2, 0.2]",249,81,87,0.835,0.575,0.575,0.569,0.569,0.575,0.569,0.569,0.575,0.575,0.575
27,Multinomial Naive Bayes,random_sampling,True,600,True,"[0.8, 0.1, 0.1]",333,39,45,0.856,0.578,0.578,0.55,0.55,0.578,0.585,0.585,0.578,0.578,0.578
28,Multinomial Naive Bayes,random_sampling,True,600,False,"[0.5, 0.25, 0.25]",207,102,108,0.833,0.62,0.62,0.596,0.596,0.62,0.611,0.611,0.62,0.62,0.62
29,Multinomial Naive Bayes,random_sampling,True,600,False,"[0.6, 0.2, 0.2]",249,81,87,0.841,0.609,0.609,0.59,0.59,0.609,0.598,0.598,0.609,0.609,0.609
30,Multinomial Naive Bayes,random_sampling,True,600,False,"[0.8, 0.1, 0.1]",333,39,45,0.84,0.444,0.444,0.436,0.436,0.444,0.431,0.431,0.444,0.444,0.444
31,Multinomial Naive Bayes,random_sampling,False,0,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.961,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
32,Multinomial Naive Bayes,random_sampling,False,0,True,"[0.6, 0.2, 0.2]",4418,1471,1476,0.955,0.959,0.959,0.346,0.939,0.959,0.653,0.941,0.959,0.343,0.959
33,Multinomial Naive Bayes,random_sampling,False,0,True,"[0.8, 0.1, 0.1]",5891,735,739,0.963,0.955,0.955,0.326,0.935,0.955,0.319,0.915,0.955,0.333,0.955
34,Multinomial Naive Bayes,random_sampling,False,0,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.961,0.959,0.959,0.342,0.939,0.959,0.653,0.941,0.959,0.341,0.959
35,Multinomial Naive Bayes,random_sampling,False,0,False,"[0.6, 0.2, 0.2]",4418,1471,1476,0.956,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
36,Multinomial Naive Bayes,random_sampling,False,0,False,"[0.8, 0.1, 0.1]",5891,735,739,0.963,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
37,Multinomial Naive Bayes,random_sampling,False,50,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.964,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
38,Multinomial Naive Bayes,random_sampling,False,50,True,"[0.6, 0.2, 0.2]",4418,1471,1476,0.962,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
39,Multinomial Naive Bayes,random_sampling,False,50,True,"[0.8, 0.1, 0.1]",5891,735,739,0.961,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
40,Multinomial Naive Bayes,random_sampling,False,50,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.964,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
