,model_name,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,val_score,accuracy,f1_micro,f1_macro,f1_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted
1,Multinomial Naive Bayes,random_sampling,True,0,True,"[0.1, 0.45, 0.45]",39,186,192,0.7,0.354,0.354,0.351,0.351,0.354,0.373,0.373,0.354,0.354,0.354
2,Multinomial Naive Bayes,random_sampling,True,0,True,"[0.5, 0.25, 0.25]",207,102,108,0.578,0.583,0.583,0.579,0.579,0.583,0.612,0.612,0.583,0.583,0.583
3,Multinomial Naive Bayes,random_sampling,True,0,True,"[0.9, 0.05, 0.05]",375,18,24,0.72,0.542,0.542,0.544,0.544,0.542,0.564,0.564,0.542,0.542,0.542
4,Multinomial Naive Bayes,random_sampling,True,0,False,"[0.1, 0.45, 0.45]",39,186,192,0.7,0.547,0.547,0.528,0.528,0.547,0.532,0.532,0.547,0.547,0.547
5,Multinomial Naive Bayes,random_sampling,True,0,False,"[0.5, 0.25, 0.25]",207,102,108,0.522,0.62,0.62,0.593,0.593,0.62,0.624,0.624,0.62,0.62,0.62
6,Multinomial Naive Bayes,random_sampling,True,0,False,"[0.9, 0.05, 0.05]",375,18,24,0.693,0.458,0.458,0.43899999999999995,0.43899999999999995,0.458,0.43600000000000005,0.43600000000000005,0.458,0.458,0.458
7,Multinomial Naive Bayes,random_sampling,True,200,True,"[0.1, 0.45, 0.45]",39,186,192,0.5702,0.5685999999999999,0.5685999999999999,0.5610000000000002,0.5610000000000002,0.5685999999999999,0.5650000000000001,0.5650000000000001,0.5685999999999999,0.5685999999999999,0.5685999999999999
8,Multinomial Naive Bayes,random_sampling,True,200,True,"[0.5, 0.25, 0.25]",207,102,108,0.6197999999999999,0.6442,0.6442,0.6346,0.6346,0.6442,0.6394,0.6394,0.6442,0.6442,0.6442
9,Multinomial Naive Bayes,random_sampling,True,200,True,"[0.9, 0.05, 0.05]",375,18,24,0.7617999999999999,0.48319999999999996,0.48319999999999996,0.48200000000000004,0.48200000000000004,0.48319999999999996,0.512,0.512,0.48319999999999996,0.48319999999999996,0.48319999999999996
10,Multinomial Naive Bayes,random_sampling,True,200,False,"[0.1, 0.45, 0.45]",39,186,192,0.5462,0.6155999999999999,0.6155999999999999,0.594,0.594,0.6155999999999999,0.6077999999999999,0.6077999999999999,0.6155999999999999,0.6155999999999999,0.6155999999999999
11,Multinomial Naive Bayes,random_sampling,True,200,False,"[0.5, 0.25, 0.25]",207,102,108,0.6365999999999999,0.6352,0.6352,0.6148,0.6148,0.6352,0.6416,0.6416,0.6352,0.6352,0.6352
12,Multinomial Naive Bayes,random_sampling,True,200,False,"[0.9, 0.05, 0.05]",375,18,24,0.7495999999999999,0.4666,0.4666,0.46719999999999995,0.46719999999999995,0.4666,0.47119999999999995,0.47119999999999995,0.4666,0.4666,0.4666
13,Multinomial Naive Bayes,random_sampling,True,400,True,"[0.1, 0.45, 0.45]",39,186,192,0.6706000000000001,0.5676,0.5676,0.5644,0.5644,0.5676,0.5748,0.5748,0.5676,0.5676,0.5676
14,Multinomial Naive Bayes,random_sampling,True,400,True,"[0.5, 0.25, 0.25]",207,102,108,0.7053999999999999,0.6277999999999999,0.6277999999999999,0.6214000000000001,0.6214000000000001,0.6277999999999999,0.6226,0.6226,0.6277999999999999,0.6277999999999999,0.6277999999999999
